municipio_id,municipio_nome,uf,ano,pib_total_mil_reais
2211209,Uruçuí,PI,2020,1912244.0
2211209,Uruçuí,PI,2021,2815208.0
2211308,Valença do Piauí,PI,2020,262551.0
2211308,Valença do Piauí,PI,2021,289656.0
2211357,Várzea Branca,PI,2020,46390.0
2211357,Várzea Branca,PI,2021,44540.0
2211407,Várzea Grande,PI,2020,39937.0
2211407,Várzea Grande,PI,2021,40995.0
2211506,Vera Mendes,PI,2020,29865.0
2211506,Vera Mendes,PI,2021,31077.0
2211605,Vila Nova do Piauí,PI,2020,35310.0
2211605,Vila Nova do Piauí,PI,2021,37035.0
2211704,Wall Ferraz,PI,2020,37450.0
2211704,Wall Ferraz,PI,2021,38008.0
