municipio_id,municipio_nome,uf,ano,pib_total_mil_reais,populacao_estimada
2205532,Jurema - PI,PI,2021,43566.0,4790
2205540,Lagoinha do Piauí - PI,PI,2021,40519.0,2870
2205557,Lagoa Alegre - PI,PI,2021,77314.0,8610
2205565,Lagoa do Barro do Piauí - PI,PI,2021,534683.0,4658
2205573,Lagoa de São Francisco - PI,PI,2021,54980.0,6795
2205581,Lagoa do Piauí - PI,PI,2021,75615.0,4086
2205599,Lagoa do Sítio - PI,PI,2021,48595.0,5219
2205607,Landri Sales - PI,PI,2021,109799.0,5272
2205706,Luís Correia - PI,PI,2021,378697.0,30558
2205805,Luzilândia - PI,PI,2021,241221.0,25521
2205854,Madeiro - PI,PI,2021,75141.0,8372
2205904,Manoel Emídio - PI,PI,2021,54807.0,5352
2205953,Marcolândia - PI,PI,2021,198352.0,8590
2206001,Marcos Parente - PI,PI,2021,54884.0,4546
2206050,Massapê do Piauí - PI,PI,2021,52130.0,6456
2206100,Matias Olímpio - PI,PI,2021,95555.0,10979
2206209,Miguel Alves - PI,PI,2021,312819.0,33901
2206308,Miguel Leão - PI,PI,2021,23604.0,1239
2206357,Milton Brandão - PI,PI,2021,53563.0,6603
2206407,Monsenhor Gil - PI,PI,2021,127469.0,10563
2206506,Monsenhor Hipólito - PI,PI,2021,72882.0,7785
2206605,Monte Alegre do Piauí - PI,PI,2021,298089.0,10618
2206654,Morro Cabeça no Tempo - PI,PI,2021,39152.0,4527
2206670,Morro do Chapéu do Piauí - PI,PI,2021,62450.0,6825
2206696,Murici dos Portelas - PI,PI,2021,74909.0,9258
2206704,Nazaré do Piauí - PI,PI,2021,67046.0,7307
2206720,Nazária - PI,PI,2021,94817.0,8632
2206753,Nossa Senhora de Nazaré - PI,PI,2021,47885.0,4911
2206803,Nossa Senhora dos Remédios - PI,PI,2021,78547.0,8751
2206902,Novo Oriente do Piauí - PI,PI,2021,58172.0,6548
2206951,Novo Santo Antônio - PI,PI,2021,31237.0,3014
2207009,Oeiras - PI,PI,2021,584373.0,37138
2207108,Olho D'Água do Piauí - PI,PI,2021,28731.0,2477
2207207,Padre Marcos - PI,PI,2021,73909.0,6879
2207306,Paes Landim - PI,PI,2021,44249.0,4124
2207355,Pajeú do Piauí - PI,PI,2021,52581.0,3416
2207405,Palmeira do Piauí - PI,PI,2021,141457.0,5029
2207504,Palmeirais - PI,PI,2021,138692.0,14633
