municipio_id,municipio_nome,uf,ano,populacao_estimada
2202703,Cocal,PI,2020,27845
2202703,Cocal,PI,2021,27901
2202703,Cocal,PI,2024,29209
2202711,Cocal de Telha,PI,2019,4891
2202711,Cocal de Telha,PI,2020,4899
2202711,Cocal de Telha,PI,2021,4908
2202711,Cocal de Telha,PI,2024,5034
2202729,Cocal dos Alves,PI,2019,6153
2202729,Cocal dos Alves,PI,2020,6168
2202729,Cocal dos Alves,PI,2021,6180
2202729,Cocal dos Alves,PI,2024,6569
2202737,Coivaras,PI,2019,4020
2202737,Coivaras,PI,2020,4032
2202737,Coivaras,PI,2021,4044
2202737,Coivaras,PI,2024,4233
2202752,Colônia do Gurguéia,PI,2019,6484
2202752,Colônia do Gurguéia,PI,2020,6516
2202752,Colônia do Gurguéia,PI,2021,6545
2202752,Colônia do Gurguéia,PI,2024,6287
2202778,Colônia do Piauí,PI,2019,7656
2202778,Colônia do Piauí,PI,2020,7661
2202778,Colônia do Piauí,PI,2021,7665
2202778,Colônia do Piauí,PI,2024,7088
2202802,Conceição do Canindé,PI,2019,4803
2202802,Conceição do Canindé,PI,2020,4807
2202802,Conceição do Canindé,PI,2021,4811
2202802,Conceição do Canindé,PI,2024,5063
2202851,Coronel José Dias,PI,2019,4682
2202851,Coronel José Dias,PI,2020,4685
2202851,Coronel José Dias,PI,2021,4688
2202851,Coronel José Dias,PI,2024,4305
2202901,Corrente,PI,2019,26644
2202901,Corrente,PI,2020,26709
2202901,Corrente,PI,2021,26771
2202901,Corrente,PI,2024,28275
2203008,Cristalândia do Piauí,PI,2019,8294
2203008,Cristalândia do Piauí,PI,2020,8323
2203008,Cristalândia do Piauí,PI,2021,8350
2203008,Cristalândia do Piauí,PI,2024,7454
2203107,Cristino Castro,PI,2019,10423
2203107,Cristino Castro,PI,2020,10444
2203107,Cristino Castro,PI,2021,10464
2203107,Cristino Castro,PI,2024,10772
2203206,Curimatá,PI,2019,11388
2203206,Curimatá,PI,2020,11426
2203206,Curimatá,PI,2021,11461
2203206,Curimatá,PI,2024,11552
2203230,Currais,PI,2019,4954
2203230,Currais,PI,2020,4968
2203230,Currais,PI,2021,4982
2203230,Currais,PI,2024,4968
2203255,Curralinhos,PI,2019,4443
2203255,Curralinhos,PI,2020,4459
2203255,Curralinhos,PI,2021,4475
2203255,Curralinhos,PI,2024,4527
2203271,Curral Novo do Piauí,PI,2019,5343
2203271,Curral Novo do Piauí,PI,2020,5367
2203271,Curral Novo do Piauí,PI,2021,5390
2203271,Curral Novo do Piauí,PI,2024,5185
2203305,Demerval Lobão,PI,2019,13817
2203305,Demerval Lobão,PI,2020,13840
2203305,Demerval Lobão,PI,2021,13862
2203305,Demerval Lobão,PI,2024,16998
2203354,Dirceu Arcoverde,PI,2019,7011
2203354,Dirceu Arcoverde,PI,2020,7029
2203354,Dirceu Arcoverde,PI,2021,7046
2203354,Dirceu Arcoverde,PI,2024,7238
2203404,Dom Expedito Lopes,PI,2019,6904
2203404,Dom Expedito Lopes,PI,2020,6922
2203404,Dom Expedito Lopes,PI,2021,6940
2203404,Dom Expedito Lopes,PI,2024,6421
2203420,Domingos Mourão,PI,2019,4355
2203420,Domingos Mourão,PI,2020,4354
2203420,Domingos Mourão,PI,2021,4352
2203420,Domingos Mourão,PI,2024,4138
